# title,"Budgeting Summary (lut=0.575ns/net=0.403ns)"
"Group","Slack","Requirement","Skew","Uncertainty","Datapath Delay","Datapath Logic Delay","Datapath Net Delay","Logic Levels","Adj Levels","Net Budget","Lut Budget","Net Adj Slack","Lut Adj Slack","Path","Info"
"ap_clk","-9.39278221130371094","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.24177742004394531","12.36000061035156250","6.88177728652954102","9","6","-6 (*)","17","-4.929","6.399","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(2) LUT6(2) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/dout_r_reg[22]/D}"
"ap_clk","-9.38605690002441406","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.33405303955078125","12.48400115966796875","6.85005140304565430","10","6","-6 (*)","17","-4.954","6.498","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(2) LUT6(2) LUT6(1) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/control_s_axi_U/int_corr_Q_reg[7]/D}"
"ap_clk","-9.38121986389160156","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.32821464538574219","12.48400115966796875","6.84421443939208984","10","6","-6 (*)","17","-4.955","6.497","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(2) LUT6(2) LUT6(1) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/control_s_axi_U/int_corr_Q_reg[27]/D}"
"ap_clk","-9.36402702331542969","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.25002288818359375","12.48400115966796875","6.76602220535278320","10","7","-6 (*)","17","-5.419","5.861","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(1) LUT6(3) LUT3(2) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/acc_I_fu_98_reg[25]/D}"
"ap_clk","-9.34286403656005859","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.17785835266113281","12.36000061035156250","6.81785917282104492","9","6","-6 (*)","17","-4.943","6.385","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(2) LUT6(2) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/dout_r_reg[29]/D}"
"ap_clk","-9.33511543273925781","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.20811080932617188","12.48400115966796875","6.72411108016967773","10","7","-6 (*)","17","-5.432","5.848","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(1) LUT6(3) LUT3(2) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/acc_Q_fu_102_reg[9]/D}"
"ap_clk","-9.32832050323486328","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.27531623840332031","12.48400115966796875","6.79131650924682617","10","6","-6 (*)","17","-4.955","6.497","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(2) LUT6(2) LUT6(1) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/control_s_axi_U/int_corr_Q_reg[10]/D}"
"ap_clk","-9.32669162750244141","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.21168708801269531","12.36000061035156250","6.85168695449829102","9","6","-6 (*)","17","-4.893","6.435","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(2) LUT6(2) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/dout_r_reg[10]/D}"
"ap_clk","-9.30982112884521484","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.25681686401367188","12.48400115966796875","6.77281570434570312","10","6","-6 (*)","17","-4.955","6.497","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(2) LUT6(2) LUT6(1) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/control_s_axi_U/int_corr_Q_reg[11]/D}"
"ap_clk","-9.30225086212158203","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.17324638366699219","12.36000061035156250","6.81324434280395508","9","6","-6 (*)","17","-4.907","6.421","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(2) LUT6(2) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/dout_r_reg[27]/D}"
"ap_clk","-9.30178070068359375","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.17777633666992188","12.48400115966796875","6.69377517700195312","10","7","-6 (*)","17","-5.429","5.851","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(1) LUT6(3) LUT3(2) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/acc_Q_fu_102_reg[30]/D}"
"ap_clk","-9.29161167144775391","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.23860740661621094","12.48400115966796875","6.75460577011108398","10","6","-6 (*)","17","-4.955","6.497","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(2) LUT6(2) LUT6(1) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/control_s_axi_U/int_corr_Q_reg[0]/D}"
"ap_clk","-9.28997230529785156","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.17796707153320312","12.36000061035156250","6.81796693801879883","9","6","-6 (*)","17","-4.890","6.438","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(1) LUT6(3) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/dout_r_reg[30]/D}"
"ap_clk","-9.27929496765136719","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.22628974914550781","12.48400115966796875","6.74228954315185547","10","6","-6 (*)","17","-4.955","6.497","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(2) LUT6(2) LUT6(1) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/control_s_axi_U/int_corr_Q_reg[6]/D}"
"ap_clk","-9.27880001068115234","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.13279533386230469","12.48400115966796875","6.64879417419433594","10","7","-6 (*)","17","-5.451","5.829","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(1) LUT6(3) LUT3(2) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/acc_I_fu_98_reg[21]/D}"
"ap_clk","-9.27432632446289062","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.14332199096679688","12.48400115966796875","6.65932178497314453","10","7","-6 (*)","17","-5.436","5.844","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(1) LUT6(3) LUT3(2) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/acc_I_fu_98_reg[17]/D}"
"ap_clk","-9.26852607727050781","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.13952255249023438","12.36000061035156250","6.77952051162719727","9","6","-6 (*)","17","-4.907","6.421","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(2) LUT6(2) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/dout_r_reg[1]/D}"
"ap_clk","-9.25267124176025391","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.12866592407226562","12.36000061035156250","6.76866674423217773","9","6","-6 (*)","17","-4.902","6.426","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(2) LUT6(2) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/dout_r_reg[0]/D}"
"ap_clk","-9.23736190795898438","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.14035606384277344","12.48400115966796875","6.65635395050048828","10","7","-6 (*)","17","-5.402","5.878","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(1) LUT6(3) LUT3(2) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/acc_Q_fu_102_reg[23]/D}"
"ap_clk","-9.23400211334228516","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.13399696350097656","12.48400115966796875","6.64999485015869141","10","7","-6 (*)","17","-5.405","5.875","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(1) LUT6(3) LUT3(2) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/acc_I_fu_98_reg[5]/D}"
"ap_clk","-9.23052787780761719","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.13352394104003906","12.48400115966796875","6.64952230453491211","10","7","-6 (*)","17","-5.402","5.878","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(1) LUT6(3) LUT3(2) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/acc_I_fu_98_reg[20]/D}"
"ap_clk","-9.23000240325927734","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.13299751281738281","12.48400115966796875","6.64899492263793945","10","7","-6 (*)","17","-5.402","5.878","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(1) LUT6(3) LUT3(2) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/acc_Q_fu_102_reg[5]/D}"
"ap_clk","-9.22633266448974609","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.12932777404785156","12.48400115966796875","6.64532756805419922","10","7","-6 (*)","17","-5.402","5.878","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(1) LUT6(3) LUT3(2) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/acc_I_fu_98_reg[18]/D}"
"ap_clk","-9.21947574615478516","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.09047126770019531","12.36000061035156250","6.73047208786010742","9","6","-6 (*)","17","-4.907","6.421","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(1) LUT6(3) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/dout_r_reg[17]/D}"
"ap_clk","-9.21394538879394531","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.11394119262695312","12.48400115966796875","6.62994098663330078","10","7","-6 (*)","17","-5.405","5.875","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(1) LUT6(3) LUT3(2) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/acc_I_fu_98_reg[14]/D}"
"ap_clk","-9.20299720764160156","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.07899284362792969","12.36000061035156250","6.71899175643920898","9","6","-6 (*)","17","-4.902","6.426","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(2) LUT6(2) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/dout_r_reg[24]/D}"
"ap_clk","-9.19792461395263672","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.04692077636718750","12.36000061035156250","6.68692064285278320","9","6","-6 (*)","17","-4.929","6.399","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(1) LUT6(3) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/dout_r_reg[18]/D}"
"ap_clk","-9.19730091094970703","10.00000000000000000","-0.04865003004670143","0.03535534068942070","19.05229568481445312","12.36000061035156250","6.69229459762573242","9","6","-6 (*)","17","-4.923","6.405","FDRE(6) LUT2(1) CARRY4(20) LUT6(2) DSP48E1(54) LUT5(1) CARRY4(12) LUT5(1) DSP48E1(2) LUT6(2) FDRE","{bd_0_i/hls_inst/inst/fadd_32ns_32ns_32_2_full_dsp_1_U2/din0_buf1_reg[24]/C --> bd_0_i/hls_inst/inst/acc_I_fu_98_reg[4]/D}"
